id,adresse,code_postal,commune,categorie
1,Rue de Belleville,75020,Paris,Centre urbain dense
2,Avenue de Flandre,75019,Paris,Zone intermédiaire
3,Rue des Rosiers,75004,Paris,Centre urbain dense
4,Avenue de la Grande Armée,75116,Paris,Zone fortement artificialisée / commerciale
5,Rue Mouffetard,75005,Paris,Centre urbain dense
6,Avenue Jean Jaurès,75019,Paris,Zone intermédiaire
7,Rue Oberkampf,75011,Paris,Centre urbain dense
8,Boulevard Haussmann,75009,Paris,Zone fortement artificialisée / commerciale
9,Rue des Pyrénées,75020,Paris,Zone intermédiaire
10,Quai de la Loire,75019,Paris,Quartier très végétalisé
11,Rue de Paris,93100,Montreuil,Zone intermédiaire
12,Avenue Gallieni,93170,Bagnolet,Zone fortement artificialisée / commerciale
13,Rue Sadi Carnot,93500,Pantin,Zone intermédiaire
14,Rue Hoche,93500,Pantin,Quartier très végétalisé
15,Avenue Jean Lolive,93500,Pantin,Centre urbain dense
16,Rue de la République,93200,Saint-Denis,Centre urbain dense
17,Avenue du Président Wilson,93210,Saint-Denis,Zone fortement artificialisée / commerciale
18,Rue du Landy,93210,Saint-Denis,Zone fortement artificialisée / commerciale
19,Rue Edouard Vaillant,93100,Montreuil,Zone intermédiaire
20,Rue Robespierre,93100,Montreuil,Quartier très végétalisé
21,Avenue de Verdun,92120,Montrouge,Zone intermédiaire
22,Rue Jean Bleuzen,92170,Vanves,Zone intermédiaire
23,Rue Marcelin Berthelot,92130,Issy-les-Moulineaux,Zone fortement artificialisée / commerciale
24,Avenue Victor Cresson,92140,Clamart,Zone intermédiaire
25,Rue du Général Leclerc,92130,Issy-les-Moulineaux,Centre urbain dense
26,Avenue de la Division Leclerc,92310,Sèvres,Quartier très végétalisé
27,Rue Paul Bert,92100,Boulogne-Billancourt,Centre urbain dense
28,Quai Georges Gorse,92100,Boulogne-Billancourt,Zone fortement artificialisée / commerciale
29,Rue Anatole France,92300,Levallois-Perret,Centre urbain dense
30,Rue Louis Rouquier,92300,Levallois-Perret,Zone intermédiaire
31,Avenue Henri Barbusse,94400,Vitry-sur-Seine,Zone intermédiaire
32,Rue Gabriel Péri,94200,Ivry-sur-Seine,Centre urbain dense
33,Quai d’Ivry,94200,Ivry-sur-Seine,Zone fortement artificialisée / commerciale
34,Rue Jean Jaurès,94700,Maisons-Alfort,Zone intermédiaire
35,Avenue Gambetta,94100,Saint-Maur-des-Fossés,Quartier très végétalisé
36,Rue de Paris,94340,Joinville-le-Pont,Quartier très végétalisé
37,Rue Roger Salengro,94500,Champigny-sur-Marne,Zone intermédiaire
38,Avenue du Général de Gaulle,94000,Créteil,Zone fortement artificialisée / commerciale
39,Rue du Bac,94130,Nogent-sur-Marne,Quartier très végétalisé
40,Rue Charles Infroit,94230,Cachan,Zone intermédiaire
41,Rue de la Gare,78370,Plaisir,Zone fortement artificialisée / commerciale
42,Avenue de Saint-Germain,78600,Maisons-Laffitte,Quartier très végétalisé
43,Rue de la République,78360,Montesson,Zone intermédiaire
44,Rue des Entrepreneurs,78500,Sartrouville,Zone fortement artificialisée / commerciale
45,Rue Voltaire,78500,Sartrouville,Centre urbain dense
46,Rue du Général Leclerc,78120,Rambouillet,Quartier très végétalisé
47,Avenue Jean Jaurès,78190,Trappes,Zone intermédiaire
48,Rue de Versailles,78150,Le Chesnay-Rocquencourt,Quartier très végétalisé
49,Rue de Poissy,78100,Saint-Germain-en-Laye,Centre urbain dense
50,Avenue du Maréchal Foch,78100,Saint-Germain-en-Laye,Zone fortement artificialisée / commerciale
51,Rue de la République,91200,Athis-Mons,Centre urbain dense
52,Avenue de la Cour de France,91260,Juvisy-sur-Orge,Zone intermédiaire
53,Rue de Paris,91120,Palaiseau,Zone intermédiaire
54,Rue de l’Yvette,91190,Gif-sur-Yvette,Quartier très végétalisé
55,Avenue de l’Europe,91160,Longjumeau,Zone fortement artificialisée / commerciale
56,Rue Henri Barbusse,91350,Grigny,Centre urbain dense
57,Rue de la Gare,91700,Sainte-Geneviève-des-Bois,Zone intermédiaire
58,Rue des Acacias,91430,Igny,Quartier très végétalisé
59,Rue du Centre,91130,Ris-Orangis,Zone intermédiaire
60,Avenue Paul Vaillant-Couturier,91100,Corbeil-Essonnes,Centre urbain dense
61,Rue de Paris,77200,Torcy,Zone intermédiaire
62,Avenue de la République,77170,Brie-Comte-Robert,Centre urbain dense
63,Rue de la Gare,77300,Fontainebleau,Quartier très végétalisé
64,Avenue Franklin Roosevelt,77290,Mitry-Mory,Zone fortement artificialisée / commerciale
65,Rue Gambetta,77000,Melun,Centre urbain dense
66,Rue des Sablons,77330,Ozoir-la-Ferrière,Quartier très végétalisé
67,Rue Jean Jaurès,77176,Savigny-le-Temple,Zone intermédiaire
68,Rue de la République,77240,Cesson,Zone intermédiaire
69,Rue du Général Leclerc,77420,Champs-sur-Marne,Quartier très végétalisé
70,Avenue de la Gare,77400,Lagny-sur-Marne,Centre urbain dense
71,Rue de Paris,95000,Cergy,Centre urbain dense
72,Avenue de la Plaine,95500,Gonesse,Zone fortement artificialisée / commerciale
