image_id,greenery_ratio
001,0.1499
002,0.1339
003,0.0134
004,0.1096
005,0.0035
006,0.0451
007,0.0201
008,0.2302
009,0.0306
010,0.036
011,0.0895
012,0.0054
013,0.0449
014,0.0091
015,0.0343
016,0.176
017,0.2453
018,0.1293
019,0.0229
020,0.0106
021,0.0802
022,0.1965
023,0.1016
024,0.0234
025,0.0443
026,0.0037
027,0.0059
028,0.197
029,0.0167
030,0.0301
031,0.0122
032,0.4328
033,0.0386
034,0.0358
035,0.0602
036,0.0802
037,0.0462
038,0.0101
039,0.0233
040,0.0301
041,0.0104
042,0.1248
043,0.0055
044,0.0358
045,0.0083
046,0.0353
047,0.0301
048,0.0469
049,0.0358
050,0.0274
051,0.1296
052,0.197
053,0.0294
054,0.0802
055,0.008
056,0.0301
057,0.0294
058,0.1872
059,0.0986
060,0.197
061,0.0226
062,0.0469
063,0.1304
064,0.1113
065,0.0027
066,0.0301
067,0.176
068,0.0498
069,0.0358
070,0.1379
071,0.0802
072,0.197
073,0.0301
074,0.0229
075,0.0469
076,0.0185
077,0.4328
078,0.0123
